Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
111,24,Bounce,167,red,110.44,232.1,26.880000000000003,-28.8,0.00875,0.1,0.09825,8350,-1,0.0,1.0,1,-1,0.0,,,,160,1,1,2,3,1,9,14,2,5,1,0,0.0,0.14285714285714285,0.030303030303030304,2,1,0,0,0.0,0.0,0.011494252873563218,Low,Low,-0.85714287
112,25,Bounce,185,blue,145.56,21.98,-26.880000000000003,24.96,0.065,0.5,0.09825,9250,-1,1.0,0.0,0,-1,1.0,,,,178,3,3,1,2,3,5,3,4,1,3,3,0.016666666666666666,0.6,0.0055248618784530384,1,1,1,1,0.012345679012345678,0.5,0.012195121951219513,High,Medium,-0.36400276
113,26,Bounce,215,green,110.44,21.98,26.880000000000003,24.96,0.065,0.9,0.09825,10750,-1,0.0,0.0,0,-1,0.0,,,,208,1,1,2,3,2,1,14,4,5,9,2,0.009708737864077669,1.0,0.023696682464454975,1,2,3,0,0.0,1.0,0.02702702702702703,High,High,0.9431611
114,27,Bounce,207,red,145.56,232.1,-26.880000000000003,-28.8,0.00875,0.1,0.09825,10350,-1,1.0,1.0,1,-1,1.0,,,,200,1,1,2,3,1,1,10,3,5,1,1,0.005025125628140704,0.125,0.024509803921568627,2,3,1,1,0.009009009009009009,0.2,0.02631578947368421,Low,Low,-0.8489959
115,28,Bounce,181,blue,145.56,234.02,-26.880000000000003,-24.96,0.00875,0.5,0.09825,9050,-1,1.0,1.0,0,-1,1.0,,,,174,2,2,3,1,3,10,3,5,3,6,0,0.0,0.75,0.017045454545454544,2,1,2,0,0.0,0.6666666666666666,0.012987012987012988,Low,Medium,0.75
116,29,Bounce,180,green,110.44,23.9,26.880000000000003,28.8,0.065,0.9,0.09825,9000,-1,0.0,0.0,1,-1,0.0,,,,173,1,1,2,3,2,6,16,5,2,6,3,0.017341040462427744,0.8571428571428571,0.011428571428571429,1,2,2,1,0.016666666666666666,0.6666666666666666,0.03225806451612903,High,High,0.78544235
117,30,Bounce,165,green,110.44,234.02,26.880000000000003,-24.96,0.065,0.1,0.09825,8250,-1,0.0,1.0,0,-1,0.0,,,,158,2,2,3,1,2,1,15,3,4,0,5,0.03164556962025317,0.0,0.024691358024691357,2,1,0,2,0.023255813953488372,0.0,0.011494252873563218,High,Low,-0.8251048
118,31,Bounce,163,red,145.56,232.1,-26.880000000000003,-28.8,0.00875,0.5,0.09825,8150,-1,1.0,1.0,1,-1,1.0,,,,156,1,1,2,3,1,10,4,4,2,3,1,0.006369426751592357,0.5,0.012578616352201259,2,2,2,0,0.0,0.5,0.03389830508474576,Low,Medium,-0.48149255
119,32,Bounce,279,blue,145.56,21.98,-26.880000000000003,24.96,0.00875,0.9,0.09825,13950,-1,1.0,0.0,0,-1,1.0,,,,272,2,2,3,1,3,1,8,5,6,10,0,0.0,0.9090909090909091,0.021897810218978103,2,2,4,0,0.0,1.0,0.017241379310344827,Low,High,0.90909094
120,33,Bounce,301,red,145.56,234.02,-26.880000000000003,-24.96,0.065,0.1,0.09825,15050,-1,1.0,1.0,0,-1,1.0,,,,294,3,3,1,2,1,3,13,4,7,1,8,0.027586206896551724,0.09090909090909091,0.02356902356902357,2,3,1,5,0.031446540880503145,0.2,0.018518518518518517,High,Low,0.2077346
121,34,Bounce,169,blue,110.44,23.9,26.880000000000003,28.8,0.065,0.5,0.09825,8450,-1,0.0,0.0,1,-1,0.0,,,,162,2,2,3,1,3,2,5,2,5,2,5,0.030864197530864196,0.2857142857142857,0.029940119760479042,1,1,1,2,0.030303030303030304,0.5,0.014925373134328358,High,Medium,0.34996876
122,35,Bounce,327,green,110.44,23.9,26.880000000000003,28.8,0.00875,0.9,0.09825,16350,-1,0.0,0.0,1,-1,0.0,,,,320,2,2,3,1,2,7,4,6,6,10,2,0.006349206349206349,0.8333333333333334,0.018691588785046728,1,4,3,0,0.0,0.6,0.03278688524590164,Low,High,-0.16090947
123,36,Bounce,290,blue,110.44,21.98,26.880000000000003,24.96,0.00875,0.1,0.09825,14500,-1,0.0,0.0,0,-1,0.0,,,,283,3,3,1,2,3,7,1,7,5,1,3,0.01079136690647482,0.08333333333333333,0.0176678445229682,1,3,0,2,0.020202020202020204,0.0,0.029411764705882353,Low,Low,-0.8590542
124,0,Nonwall,293,green,110.44,144.12572,26.880000000000003,24.96,0.00875,0.1,0.09825,14650,-1,0.0,1.0,0,-1,0.0,0.0,4.0,16.0,286,1,1,2,3,2,9,5,6,5,3,3,0.010638297872340425,0.2727272727272727,0.017421602787456445,2,2,2,0,0.0,0.5,0.019230769230769232,Low,Low,0.2997865
125,1,Nonwall,264,red,110.44,97.29143,26.880000000000003,-24.96,0.065,0.5,0.09825,13200,-1,0.0,0.0,0,-1,0.0,0.0,1.0,2.0,257,3,3,1,2,1,4,4,6,3,3,5,0.0196078431372549,0.3333333333333333,0.011627906976744186,2,2,3,2,0.016,0.75,0.015748031496062992,High,Medium,0.36707696
126,2,Nonwall,228,blue,110.44,166.0,26.880000000000003,24.96,0.065,0.9,0.09825,11400,-1,0.0,1.0,0,-1,0.0,0.0,7.0,20.0,221,2,2,3,1,3,8,2,5,2,7,5,0.02262443438914027,1.0,0.008968609865470852,2,2,4,3,0.024793388429752067,1.0,0.016260162601626018,High,High,0.8719199
127,3,Nonwall,265,red,145.56,139.02856,-26.880000000000003,28.8,0.00875,0.1,0.09825,13250,-1,1.0,1.0,1,-1,1.0,0.0,3.0,15.0,258,1,1,2,3,1,1,12,6,4,0,1,0.00392156862745098,0.0,0.015444015444015444,2,1,0,0,0.0,0.0,0.007352941176470588,Low,Low,-0.97670126
128,4,Nonwall,201,blue,145.56,103.48572,-26.880000000000003,-28.8,0.00875,0.5,0.09825,10050,-1,1.0,0.0,1,-1,1.0,0.0,2.0,3.0,194,3,3,1,2,3,9,16,4,3,3,1,0.005154639175257732,0.42857142857142855,0.015228426395939087,1,1,0,1,0.011494252873563218,0.0,0.011363636363636364,Low,Medium,-0.5541506
129,5,Nonwall,167,green,145.56,137.2,-26.880000000000003,-28.8,0.065,0.9,0.09825,8350,-1,1.0,0.0,1,-1,1.0,0.0,7.0,14.0,160,1,1,2,3,2,3,17,3,4,7,3,0.01875,1.0,0.024390243902439025,2,1,3,1,0.011627906976744186,1.0,0.011494252873563218,High,High,0.892768
130,6,Nonwall,270,blue,145.56,151.41714,-26.880000000000003,24.96,0.065,0.1,0.09825,13500,-1,1.0,1.0,0,-1,1.0,0.0,5.0,18.0,263,3,3,1,2,3,6,9,5,5,0,9,0.03461538461538462,0.0,0.018867924528301886,1,2,0,3,0.021897810218978103,0.0,0.014388489208633094,High,Low,-0.8102191
131,7,Nonwall,156,red,145.56,137.2,-26.880000000000003,-28.8,0.00875,0.5,0.09825,7800,-1,1.0,0.0,1,-1,1.0,0.0,7.0,14.0,149,3,3,1,2,1,5,12,4,2,4,1,0.006666666666666667,0.6666666666666666,0.013157894736842105,1,1,1,0,0.0,0.5,0.017543859649122806,Low,Medium,0.6533392
132,8,Nonwall,197,green,110.44,96.74286,26.880000000000003,-28.8,0.00875,0.9,0.09825,9850,-1,0.0,0.0,1,-1,0.0,0.0,1.0,1.0,190,1,1,2,3,2,2,11,4,4,8,0,0.0,1.0,0.02072538860103627,2,1,3,0,0.0,1.0,0.011494252873563218,Low,High,1.0
133,9,Nonwall,188,green,110.44,152.51428,26.880000000000003,28.8,0.065,0.1,0.09825,9400,-1,0.0,1.0,1,-1,0.0,0.0,5.0,19.0,181,1,1,2,3,2,10,16,3,4,1,5,0.027624309392265192,0.14285714285714285,0.021621621621621623,1,1,0,3,0.02857142857142857,0.0,0.009433962264150943,High,Low,0.24431768
