Video ID,idx_trial,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_x_position,idx_y_position,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_position,bounce_x_y,idx_pos_y_bounce,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
182,80,Bounce,-1,1,0,0,1,,264,red,130.88533,23.836,-27.306666662399998,20.48,0.0065,0.925,0.025,7920,-1,,,252,3,3,1,2,1,8,4,6,1,7,0,0.0,1.0,0.003875968992248062,1,1,2,0,0.0,1.0,0.014705882352941176,Low,High,1.0
183,0,Nonwall,-1,1,1,1,1,29.0,361,red,119.88533,166.0,-27.306666662399998,34.1333333248,0.0065,0.1,0.025,10830,-1,0.0,7.0,345,1,1,2,3,1,24,10,10,1,3,2,0.005714285714285714,0.2727272727272727,0.002849002849002849,2,0,1,0,0.0,0.5,0.0,Low,Low,-0.6682935
184,1,Nonwall,-1,0,0,1,0,25.0,452,green,97.88533,153.90857,-27.306666662399998,34.1333333248,0.1,0.5125000000000001,0.025,13560,-1,1.0,4.0,438,3,3,1,2,2,19,7,13,2,9,12,0.02745995423340961,0.6,0.004555808656036446,3,1,3,5,0.04065040650406504,0.75,0.008064516129032258,High,Medium,0.17086604
185,2,Nonwall,-1,0,1,0,2,14.0,240,blue,136.11467,125.43314,27.306666662399998,20.48,0.1,0.925,0.025,7200,-1,0.0,1.0,224,2,2,3,1,3,16,9,6,0,5,9,0.038461538461538464,0.8333333333333334,0.0,2,0,1,2,0.03389830508474576,0.5,0.0,High,High,0.53205425
186,3,Nonwall,-1,0,1,0,0,8.0,202,blue,97.88533,110.28343,-27.306666662399998,-20.48,0.0065,0.1,0.025,6060,-1,1.0,3.0,188,3,3,1,2,3,12,9,4,2,2,0,0.0,0.3333333333333333,0.010101010101010102,1,1,1,0,0.0,0.5,0.017241379310344827,Low,Low,-0.6666667
187,4,Nonwall,-1,1,0,1,1,9.0,299,red,119.88533,114.18285,-27.306666662399998,-34.1333333248,0.0065,0.5125000000000001,0.025,8970,-1,0.0,6.0,283,3,3,1,2,1,17,7,8,2,4,0,0.0,0.4,0.006872852233676976,2,0,1,0,0.0,0.5,0.0,Low,Medium,0.4
188,5,Nonwall,-1,1,0,1,3,20.0,223,green,158.11467,141.81714,27.306666662399998,34.1333333248,0.1,0.925,0.025,6690,-1,1.0,1.0,209,1,1,2,3,2,10,6,6,1,6,7,0.032407407407407406,0.8571428571428571,0.004608294930875576,1,1,1,2,0.03508771929824561,0.5,0.017241379310344827,High,High,0.6051615
189,6,Nonwall,-1,1,1,1,3,4.0,274,green,158.11467,102.09143,27.306666662399998,-34.1333333248,0.1,0.1,0.025,8220,-1,1.0,3.0,260,1,1,2,3,2,10,7,6,2,0,10,0.03759398496240601,0.0,0.007462686567164179,1,1,0,4,0.05,0.0,0.012345679012345678,High,Low,0.3095874
190,7,Nonwall,-1,1,0,0,3,27.0,205,blue,158.11467,159.23886,27.306666662399998,20.48,0.0065,0.5125000000000001,0.025,6150,-1,1.0,6.0,191,3,3,1,2,3,17,2,5,1,4,0,0.0,0.6666666666666666,0.005,2,0,1,0,0.0,0.5,0.0,Low,Medium,-0.33333334
191,8,Nonwall,-1,0,0,1,0,29.0,407,red,97.88533,166.0,-27.306666662399998,34.1333333248,0.0065,0.925,0.025,12210,-1,1.0,7.0,393,3,3,1,2,1,15,7,12,1,12,1,0.0025380710659898475,0.9230769230769231,0.002531645569620253,3,0,2,0,0.0,0.6666666666666666,0.0,Low,High,0.8955456
