Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color_idx_cent,last_visible_color_idx_inner,last_visible_color,color_entered,color_next,color_after_next,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCNVC_effective_ps,PCCOVC_effective,PVC_effective,PVC_effective_ps,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCNVC_effective_observable_ps,PCCOVC_effective_observable,PVC_effective_observable,PVC_effective_observable_ps,Hazard Rate,Contingency,correct_response,PCCNVC_adjusted,cwl
36,25,Straight,276,red,159.0,71.03896,28.16,-25.6,0.0775,0.5,0.0,13800,2,0.0,0.0,0,-1,,245,249,252,1,1,2,3,1,19,6,0,2,10,0.04081632653061224,0.8163265306122449,0.3333333333333333,0.0,0.0,5,0,1,7,0.04375,0.875,0.2,0.0,0.0,High,Medium,1,0.034582452229360496,-0.42548573
37,26,Straight,182,blue,128.0,147.63637,-28.16,30.72,0.0775,0.9,0.0,9100,1,1.0,1.0,1,-1,,162,166,169,3,3,1,2,2,14,4,0,4,5,0.030864197530864196,0.6172839506172839,1.0,0.0,0.0,4,0,4,3,0.02857142857142857,0.5714285714285714,1.0,0.0,0.0,High,High,3,0.034582452229360496,-0.6714206
38,27,Straight,249,red,97.0,38.25974,28.16,-25.6,0.0185,0.1,0.0,12450,0,0.0,0.0,0,-1,,240,244,247,1,1,2,3,3,18,5,0,0,5,0.020833333333333332,0.4166666666666667,0.0,0.0,0.0,4,0,0,3,0.01875,0.375,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.95876735
39,28,Straight,161,green,97.0,236.0,-28.16,25.6,0.0185,0.5,0.0,8050,2,1.0,1.0,0,-1,,130,134,137,2,2,3,1,6,5,3,0,2,2,0.015384615384615385,0.3076923076923077,0.6666666666666666,0.0,0.0,2,0,2,1,0.009900990099009901,0.19801980198019803,1.0,0.0,0.0,Low,Medium,2,0.011564624769186516,-0.6946083
40,29,Straight,267,green,128.0,108.36364,-28.16,-30.72,0.0775,0.9,0.0,13350,1,1.0,0.0,1,-1,,247,251,254,1,1,2,3,3,4,6,0,6,8,0.032388663967611336,0.6477732793522267,1.0,0.0,0.0,6,0,6,4,0.025,0.5,1.0,0.0,0.0,High,High,2,0.034582452229360496,0.2842122
41,30,Straight,247,green,128.0,160.25974,-28.16,30.72,0.0775,0.1,0.0,12350,1,1.0,1.0,1,-1,,227,231,234,2,2,3,1,8,8,5,0,1,7,0.030837004405286344,0.6167400881057269,0.2,0.0,0.0,5,0,1,6,0.0375,0.75,0.2,0.0,0.0,High,Low,2,0.034582452229360496,-0.6716488
42,31,Straight,327,red,97.0,166.18182,-28.16,30.72,0.0185,0.5,0.0,16350,2,1.0,1.0,1,-1,,296,300,303,1,1,2,3,1,15,8,0,5,2,0.006756756756756757,0.13513513513513514,0.625,0.0,0.0,8,0,5,1,0.004784688995215311,0.09569377990430622,0.625,0.0,0.0,Low,Medium,1,0.011564624769186516,-0.850377
43,32,Straight,204,blue,97.0,54.909092,28.16,-30.72,0.0185,0.9,0.0,10200,0,0.0,0.0,1,-1,,195,199,202,3,3,1,2,6,1,5,0,4,2,0.010256410256410256,0.20512820512820512,0.8,0.0,0.0,4,0,3,1,0.0072992700729927005,0.145985401459854,0.75,0.0,0.0,Low,High,3,0.011564624769186516,-0.9795924
44,33,Straight,184,red,159.0,40.415585,-28.16,-25.6,0.0775,0.1,0.0,9200,0,1.0,0.0,0,-1,,175,179,182,1,1,2,3,5,5,4,0,2,6,0.03428571428571429,0.6857142857142857,0.5,0.0,0.0,3,0,1,4,0.03418803418803419,0.6837606837606838,0.3333333333333333,0.0,0.0,High,Low,1,0.034582452229360496,-0.9326041
45,34,Straight,258,red,128.0,150.5974,28.16,25.6,0.0775,0.5,0.0,12900,1,0.0,1.0,0,-1,,238,242,245,1,1,2,3,2,10,6,0,1,10,0.04201680672268908,0.8403361344537815,0.16666666666666666,0.0,0.0,5,0,0,8,0.05,1.0,0.0,0.0,0.0,High,Medium,1,0.034582452229360496,-0.58615565
46,35,Straight,199,blue,159.0,20.0,28.16,-25.6,0.0185,0.9,0.0,9950,2,0.0,0.0,0,-1,,168,172,175,2,2,3,1,2,19,4,0,3,2,0.011904761904761904,0.23809523809523808,0.75,0.0,0.0,2,0,2,1,0.00909090909090909,0.18181818181818182,1.0,0.0,0.0,Low,High,3,0.011564624769186516,0.21709043
47,36,Straight,200,red,128.0,236.0,28.16,25.6,0.0185,0.1,0.0,10000,1,0.0,1.0,0,-1,,180,184,187,3,3,1,2,4,6,4,0,0,1,0.005555555555555556,0.1111111111111111,0.0,0.0,0.0,2,0,0,1,0.00819672131147541,0.16393442622950818,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,0.067552485
48,37,Straight,356,green,159.0,40.415585,-28.16,-25.6,0.0775,0.5,0.0,17800,0,1.0,0.0,0,-1,,347,351,354,2,2,3,1,2,15,7,0,4,13,0.037463976945244955,0.7492795389048992,0.5714285714285714,0.0,0.0,6,0,4,8,0.03463203463203463,0.6926406926406926,0.6666666666666666,0.0,0.0,High,Medium,2,0.034582452229360496,-0.9264756
49,38,Straight,249,blue,159.0,164.54546,28.16,25.6,0.0775,0.9,0.0,12450,2,0.0,1.0,0,-1,,218,222,225,3,3,1,2,4,13,6,0,5,7,0.03211009174311927,0.6422018348623854,0.8333333333333334,0.0,0.0,6,0,5,6,0.0375,0.75,0.8333333333333334,0.0,0.0,High,High,3,0.034582452229360496,-0.4907501
50,39,Straight,367,blue,97.0,89.818184,-28.16,-30.72,0.0185,0.1,0.0,18350,2,1.0,0.0,1,-1,,336,340,343,1,1,2,3,4,10,9,0,0,5,0.01488095238095238,0.2976190476190476,0.0,0.0,0.0,8,0,0,3,0.013636363636363636,0.2727272727272727,0.0,0.0,0.0,Low,Low,3,0.011564624769186516,0.043969627
51,40,Straight,183,red,128.0,95.74026,28.16,-30.72,0.0185,0.5,0.0,9150,1,0.0,0.0,1,-1,,163,167,170,1,1,2,3,4,17,3,0,0,2,0.012269938650306749,0.24539877300613497,0.0,0.0,0.0,3,0,0,2,0.01904761904761905,0.38095238095238093,0.0,0.0,0.0,Low,Medium,1,0.011564624769186516,-0.8521883
52,41,Straight,188,green,159.0,189.24675,-28.16,30.72,0.0775,0.9,0.0,9400,0,1.0,1.0,1,-1,,179,183,186,2,2,3,1,7,14,4,0,4,5,0.027932960893854747,0.5586592178770949,1.0,0.0,0.0,4,0,4,3,0.024793388429752067,0.49586776859504134,1.0,0.0,0.0,High,High,2,0.034582452229360496,-0.94491434
53,42,Straight,273,green,159.0,81.24675,-28.16,-25.6,0.0775,0.1,0.0,13650,0,1.0,0.0,0,-1,,264,268,271,2,2,3,1,7,6,6,0,0,10,0.03787878787878788,0.7575757575757576,0.0,0.0,0.0,3,0,0,6,0.03389830508474576,0.6779661016949152,0.0,0.0,0.0,High,Low,2,0.034582452229360496,-0.92567724
54,43,Straight,226,blue,159.0,35.584415,28.16,-30.72,0.0185,0.5,0.0,11300,2,0.0,0.0,1,-1,,195,199,202,3,3,1,2,3,2,6,0,2,2,0.010256410256410256,0.20512820512820512,0.3333333333333333,0.0,0.0,6,0,2,0,0.0,0.0,0.3333333333333333,0.0,0.0,Low,Medium,3,0.011564624769186516,-0.7825676
55,44,Straight,262,blue,128.0,150.5974,-28.16,25.6,0.0185,0.9,0.0,13100,1,1.0,1.0,0,-1,,242,246,249,3,3,1,2,2,11,6,0,6,1,0.004132231404958678,0.08264462809917356,1.0,0.0,0.0,5,0,5,1,0.00625,0.125,1.0,0.0,0.0,Low,High,3,0.011564624769186516,-0.9476123
56,45,Straight,243,green,97.0,131.27272,28.16,30.72,0.0775,0.1,0.0,12150,0,0.0,1.0,1,-1,,234,238,241,2,2,3,1,1,1,6,0,1,9,0.038461538461538464,0.7692307692307693,0.16666666666666666,0.0,0.0,6,0,1,6,0.0375,0.75,0.16666666666666666,0.0,0.0,High,Low,2,0.034582452229360496,-0.9245562
57,46,Straight,325,blue,128.0,119.63636,-28.16,-25.6,0.0775,0.5,0.0,16250,1,1.0,0.0,0,-1,,305,309,312,3,3,1,2,5,6,7,0,2,11,0.036065573770491806,0.7213114754098361,0.2857142857142857,0.0,0.0,7,0,2,8,0.037209302325581395,0.7441860465116279,0.2857142857142857,0.0,0.0,High,Medium,3,0.034582452229360496,-0.62961745
58,47,Straight,297,red,159.0,189.24675,28.16,30.72,0.0185,0.9,0.0,14850,2,0.0,1.0,1,-1,,266,270,273,1,1,2,3,6,13,6,0,6,4,0.015037593984962405,0.3007518796992481,1.0,0.0,0.0,6,0,6,1,0.00558659217877095,0.11173184357541899,1.0,0.0,0.0,Low,High,1,0.011564624769186516,-0.70014703
59,48,Straight,260,red,159.0,228.2078,28.16,30.72,0.0185,0.1,0.0,13000,2,0.0,1.0,1,-1,,229,233,236,1,1,2,3,6,4,6,0,0,4,0.017467248908296942,0.34934497816593885,0.0,0.0,0.0,6,0,0,3,0.01875,0.375,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.66258514
60,49,Straight,166,blue,128.0,91.16883,28.16,-25.6,0.0775,0.5,0.0,8300,1,0.0,0.0,0,-1,,146,150,153,2,2,3,1,3,8,4,0,1,5,0.03424657534246575,0.684931506849315,0.25,0.0,0.0,4,0,1,4,0.0380952380952381,0.7619047619047619,0.25,0.0,0.0,High,Medium,3,0.034582452229360496,0.29377818
61,50,Straight,186,blue,159.0,30.207792,-28.16,-25.6,0.0775,0.9,0.0,9300,0,1.0,0.0,0,-1,,177,181,184,2,2,3,1,3,1,4,0,3,5,0.02824858757062147,0.5649717514124294,0.75,0.0,0.0,3,0,2,3,0.025210084033613446,0.5042016806722689,0.6666666666666666,0.0,0.0,High,High,3,0.034582452229360496,0.05490121
62,51,Straight,383,red,128.0,105.402596,28.16,-25.6,0.0185,0.1,0.0,19150,1,0.0,0.0,0,-1,,363,367,370,1,1,2,3,7,4,9,0,1,5,0.013774104683195593,0.27548209366391185,0.1111111111111111,0.0,0.0,7,0,0,4,0.016194331983805668,0.32388663967611336,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.8356636
63,52,Straight,165,red,97.0,218.54546,-28.16,30.72,0.0185,0.5,0.0,8250,2,1.0,1.0,1,-1,,134,138,141,1,1,2,3,5,7,4,0,2,0,0.0,0.0,0.5,0.0,0.0,4,0,2,0,0.0,0.0,0.5,0.0,0.0,Low,Medium,1,0.011564624769186516,-1.0
64,53,Straight,194,blue,159.0,236.0,-28.16,30.72,0.0775,0.9,0.0,9700,0,1.0,1.0,1,-1,,185,189,192,3,3,1,2,3,15,4,0,1,7,0.03783783783783784,0.7567567567567568,0.25,0.0,0.0,2,0,0,6,0.047244094488188976,0.9448818897637795,0.0,0.0,0.0,High,High,3,0.034582452229360496,-0.92575604
65,54,Straight,195,red,97.0,113.818184,-28.16,30.72,0.0775,0.1,0.0,9750,2,1.0,1.0,1,-1,,164,168,171,3,3,1,2,6,8,5,0,0,7,0.042682926829268296,0.8536585365853658,0.0,0.0,0.0,4,0,0,4,0.03773584905660377,0.7547169811320755,0.0,0.0,0.0,High,Low,1,0.034582452229360496,0.39040294
66,55,Straight,174,blue,128.0,221.76624,-28.16,25.6,0.0185,0.5,0.0,8700,1,1.0,1.0,0,-1,,154,158,161,3,3,1,2,8,5,3,0,1,3,0.01948051948051948,0.38961038961038963,0.3333333333333333,0.0,0.0,2,0,0,3,0.02857142857142857,0.5714285714285714,0.0,0.0,0.0,Low,Medium,3,0.011564624769186516,-0.7760755
67,56,Straight,348,red,97.0,54.909092,28.16,-30.72,0.0185,0.9,0.0,17400,0,0.0,0.0,1,-1,,339,343,346,1,1,2,3,7,1,8,0,5,3,0.008849557522123894,0.17699115044247787,0.625,0.0,0.0,7,0,5,2,0.008968609865470852,0.17937219730941703,0.7142857142857143,0.0,0.0,Low,High,1,0.011564624769186516,-0.9823792
68,57,Straight,175,red,128.0,62.701298,28.16,-25.6,0.0775,0.1,0.0,8750,1,0.0,0.0,0,-1,,155,159,162,1,1,2,3,8,13,4,0,0,9,0.05806451612903226,1.1612903225806452,0.0,0.0,0.0,2,0,0,6,0.05714285714285714,1.1428571428571428,0.0,0.0,0.0,High,Low,1,0.034582452229360496,-0.49031514
69,58,Straight,168,blue,159.0,215.58441,-28.16,25.6,0.0775,0.5,0.0,8400,0,1.0,1.0,0,-1,,159,163,166,3,3,1,2,5,13,3,0,1,7,0.0440251572327044,0.8805031446540881,0.3333333333333333,0.0,0.0,2,0,0,6,0.05714285714285714,1.1428571428571428,0.0,0.0,0.0,High,Medium,3,0.034582452229360496,-0.9138879
70,59,Straight,164,green,159.0,74.545456,28.16,-30.72,0.0185,0.9,0.0,8200,2,0.0,0.0,1,-1,,133,137,140,2,2,3,1,1,10,4,0,4,4,0.03007518796992481,0.6015037593984962,1.0,0.0,0.0,4,0,4,4,0.038461538461538464,0.7692307692307693,1.0,0.0,0.0,Low,High,2,0.011564624769186516,-0.5095757
71,60,Straight,458,green,159.0,20.0,-28.16,-30.72,0.0185,0.1,0.0,22900,0,1.0,0.0,1,-1,,449,453,456,2,2,3,1,7,10,11,0,0,4,0.008908685968819599,0.17817371937639198,0.0,0.0,0.0,8,0,0,3,0.009868421052631578,0.19736842105263158,0.0,0.0,0.0,Low,Low,2,0.011564624769186516,-0.982262
72,61,Straight,181,green,159.0,20.0,28.16,-30.72,0.0775,0.5,0.0,9050,2,0.0,0.0,1,-1,,150,154,157,2,2,3,1,6,19,4,0,1,6,0.04,0.8,0.25,0.0,0.0,4,0,1,4,0.0380952380952381,0.7619047619047619,0.25,0.0,0.0,High,Medium,2,0.034582452229360496,-0.43064287
73,62,Straight,215,red,128.0,193.2987,-28.16,25.6,0.0775,0.9,0.0,10750,1,1.0,1.0,0,-1,,195,199,202,1,1,2,3,1,4,5,0,3,8,0.041025641025641026,0.8205128205128205,0.6,0.0,0.0,3,0,2,6,0.043795620437956206,0.8759124087591241,0.6666666666666666,0.0,0.0,High,High,1,0.034582452229360496,-0.59308
74,63,Straight,307,blue,128.0,193.2987,28.16,25.6,0.0185,0.1,0.0,15350,1,0.0,1.0,0,-1,,287,291,294,3,3,1,2,2,4,7,0,1,5,0.017421602787456445,0.34843205574912894,0.14285714285714285,0.0,0.0,4,0,1,4,0.02,0.4,0.25,0.0,0.0,Low,Low,3,0.011564624769186516,-0.7970133
75,64,Straight,389,red,97.0,162.96104,-28.16,25.6,0.0185,0.5,0.0,19450,2,1.0,1.0,0,-1,,358,362,365,1,1,2,3,1,17,9,0,3,4,0.0111731843575419,0.22346368715083798,0.3333333333333333,0.0,0.0,8,0,3,3,0.012396694214876033,0.24793388429752067,0.375,0.0,0.0,Low,Medium,1,0.011564624769186516,-0.76586473
76,65,Straight,217,green,97.0,89.818184,28.16,-30.72,0.0775,0.9,0.0,10850,0,0.0,0.0,1,-1,,208,212,215,2,2,3,1,2,12,6,0,5,8,0.038461538461538464,0.7692307692307693,0.8333333333333334,0.0,0.0,6,0,5,6,0.04,0.8,0.8333333333333334,0.0,0.0,High,High,2,0.034582452229360496,-0.9245562
77,66,Straight,269,green,128.0,179.06494,28.16,25.6,0.0775,0.1,0.0,13450,1,0.0,1.0,0,-1,,249,253,256,3,3,1,2,4,4,6,0,0,10,0.040160642570281124,0.8032128514056225,0.0,0.0,0.0,4,0,0,7,0.043209876543209874,0.8641975308641975,0.0,0.0,0.0,High,Low,2,0.034582452229360496,0.08024253
78,67,Straight,230,red,97.0,166.18182,28.16,30.72,0.0185,0.5,0.0,11500,0,0.0,1.0,1,-1,,221,225,228,1,1,2,3,7,15,6,0,1,3,0.013574660633484163,0.27149321266968324,0.16666666666666666,0.0,0.0,6,0,1,3,0.01875,0.375,0.16666666666666666,0.0,0.0,Low,Medium,1,0.011564624769186516,-0.973035
79,68,Straight,160,green,97.0,89.818184,-28.16,-30.72,0.0185,0.9,0.0,8000,2,1.0,0.0,1,-1,,129,133,136,2,2,3,1,8,15,4,0,3,2,0.015503875968992248,0.31007751937984496,0.75,0.0,0.0,4,0,3,2,0.02,0.4,0.75,0.0,0.0,Low,High,2,0.011564624769186516,-0.69271827
80,69,Straight,176,red,97.0,93.03896,-28.16,-25.6,0.0775,0.1,0.0,8800,2,1.0,0.0,0,-1,,145,149,152,3,3,1,2,6,10,4,0,0,8,0.05517241379310345,1.103448275862069,0.0,0.0,0.0,4,0,0,5,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,High,Low,1,0.034582452229360496,0.3908076
81,0,Bounce,170,red,144.92,22.3,-28.16,25.6,0.0185,0.1,0.0,8500,-1,1.0,0.0,0,-1,1.0,156,160,163,1,1,2,3,3,9,3,0,1,2,0.01282051282051282,0.2564102564102564,0.3333333333333333,0.0,0.0,3,0,1,2,0.01904761904761905,0.38095238095238093,0.3333333333333333,0.0,0.0,Low,Low,1,0.011564624769186516,-0.617808
82,1,Bounce,200,green,111.08,233.7,28.16,-25.6,0.0775,0.5,0.0,10000,-1,0.0,1.0,0,-1,0.0,186,190,193,2,2,3,1,3,17,4,0,2,4,0.021505376344086023,0.43010752688172044,0.5,0.0,0.0,4,0,2,2,0.015625,0.3125,0.5,0.0,0.0,High,Medium,2,0.034582452229360496,-0.44212753
83,2,Bounce,332,blue,111.08,231.14,28.16,-30.72,0.0775,0.9,0.0,16600,-1,0.0,1.0,1,-1,0.0,318,322,325,2,2,3,1,1,5,8,0,6,12,0.03773584905660377,0.7547169811320755,0.75,0.0,0.0,5,0,4,9,0.04186046511627907,0.8372093023255814,0.8,0.0,0.0,High,High,3,0.034582452229360496,0.6428503
